label,statement,target,clean_text
false,"Says that if Texas, California and New York all voted for Democratic presidential nominees, it would be mathematically impossible for Republicans to elect a president.",false,says texas california new york voted democratic presidential nominees would mathematically impossible republicans elect president
true,Says close to 90 percent of the population growth in Texas over the last decade was non-Anglo.,true,says close percent population growth texas last decade nonanglo
true,"A bipartisan background check amendment outlawed any (gun) registry. Plain and simple, right there in the text.",true,bipartisan background check amendment outlawed gun registry plain simple right text
pants-fire,Says Wisconsin Gov. Scott Walker eliminated cancer screenings for uninsured women and offered no alternatives.,pants-fire,says wisconsin gov scott walker eliminated cancer screenings uninsured women offered alternatives
pants-fire,"Says in regard to providing more tax cuts for the rich, Bill Pascrell said, Republicans had great ideas. I liked some of their ideas.",pants-fire,says regard providing tax cuts rich bill pascrell said republicans great ideas liked ideas
mostly-true,"John McCain ""voted against the Bush tax cuts, both times.""",mostly-true,john mccain voted bush tax cuts times
mostly-true,"The average student debt coming out of the University of Wisconsin-Madison is something like 28,000 dollars.",mostly-true,average student debt coming university wisconsinmadison something like dollars
half-true,Due to a flaw in the 1995 Outer Continental Shelf Deep Water Royalty Relief Act numerous oil companies are now drilling in the Gulf of Mexico in federal lands and paying no royalties to the federal government.,half-true,due flaw outer continental shelf deep water royalty relief act numerous oil companies drilling gulf mexico federal lands paying royalties federal government
half-true,Says Hillary Clinton voted for virtually every trade agreement that has cost the workers of this country millions of jobs.,half-true,says hillary clinton voted virtually every trade agreement cost workers country millions jobs
true,Says Rep. John Katko promised he wouldnt vote to defund Planned Parenthood and since hes been in office hes done that four times,true,says rep john katko promised wouldnt vote defund planned parenthood since hes office hes done four times
pants-fire,Says Los Angeles Clippers owner Donald Sterling is a Democrat.,pants-fire,says los angeles clippers owner donald sterling democrat
mostly-true,FACT: the special assistant in @johnkasichs office makes over three times more than an average #OH firefighter,mostly-true,fact special assistant johnkasichs office makes three times average oh firefighter
half-true,"Obama's wife said her goal in life was to put the black community ""first and foremost.""",half-true,obamas wife said goal life put black community first foremost
mostly-true,Money towards the Ebola vaccine is basically cut in half to what it was. More cuts are coming under the congressional sequester.,mostly-true,money towards ebola vaccine basically cut half cuts coming congressional sequester
barely-true,"Says state Sen. Randy Hopper, R-Fond du Lac, unlike typical taxpayers, didnt pay taxes",barely-true,says state sen randy hopper rfond du lac unlike typical taxpayers didnt pay taxes
mostly-true,"New school testing standards will consume approximately twenty days of testing for elementary, middle and high school students.",mostly-true,new school testing standards consume approximately twenty days testing elementary middle high school students
barely-true,"Obama voted for ""tax subsidies and giveways"" that have slowed oil companies from pursuing clean energy sources.",barely-true,obama voted tax subsidies giveways slowed oil companies pursuing clean energy sources
half-true,Says Katie McGintyactually agrees with Hillary Clinton and the most liberal wing of the Democrats on everything.,half-true,says katie mcgintyactually agrees hillary clinton liberal wing democrats everything
false,Says a Bureau of Labor Statistics report attributed a sharp increase in work-related fatalities to increasing numbers of employees and drivers could not read or understand warning signs in English.,false,says bureau labor statistics report attributed sharp increase workrelated fatalities increasing numbers employees drivers could read understand warning signs english
